Review title;Aikenhead;Al-Hozaim;Allen;Allin;Alzahem;Apelt;Aworanti;Baker;Berger;Berg;Billingham;Black;Borruto;Castagnetti;Castagnetti2;Chan;Chan2;Chang;Chen;Corbett;Cullis;Cundy;Cundy EJPS;Cundy 2;Dalen;Ding;Dingeman1;Dingeman2;Ells;Elyas;Esposito;Feng 1;Feng2;Friedmacher1;Friedmacher2;Frongia;Gallo;Gosemann;Graziano;Guo;Hall;Healy;Healy2;Heloury;Huang;Ishii1;Ishii2;Ito;Jia;Kapralik;Kunz;Landisch;Lane;Lansdale;Lee;Leevan;Liang;Lishuang;Livingston;Mauritz;Mauritz2;Mei;Mullassery;Nagler;Narayanan;Nasr;Nasr2;Nataraja;Nicolau;Oliviera;Oomen;Parolini;Parolini;Peters;Peycelon;Pfitsermuller;Puligandla;Reddy;Romao;Ross;Ruttenstock;Rynja;Saldana;Sauerland;Scholfield;Sharp;Shawyer;Shawyer2;Shen;Siddiqui;Siminas;Sklar;Sola;Symeonidis;Tan;Terui;Thomson;Thyoka;Vernon;Van den Hondel;Wang;Wayne;Weih;Wenk;Wilkinson;Wright;Yang;Yang2;Youssef;Zani;Zhao;Zhu
AMSTAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1. Was an 'a priori' design provided? The research question and inclusion criteria should be established before the conduct of the review. Note: Need to refer to a protocol, ethics approval, or pre-determined/a priori published research objectives to score a “yes.”;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0
2. Was there duplicate study selection and data extraction? There should be at least two independent data extractors and a consensus procedure for disagreements should be in place. Note: 2 people do study selection, 2 people do data extraction, consensus process or one person checks the other’s work.;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;1;1;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;0;1;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;1;1;1;0;0;0;0
"3. Was a comprehensive literature search performed? At least two electronic sources should be searched. The report must include years and databases used (e.g., Central, EMBASE, and MEDLINE). Key words and/or MESH terms must be stated and where feasible the search strategy should be provided. All searches should be supplemented by consulting current contents, reviews, textbooks, specialized registers, or experts in the particular field of study, and by reviewing the references in the studies found. Note: If at least 2 sources + one supplementary strategy used, select “yes” (Cochrane register/Central counts as 2 sources; a grey literature search counts as supplementary).";1;1;0;1;1;0;1;0;0;1;1;1;0;0;0;1;1;0;1;0;1;1;1;1;1;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;1;1;1;1;1;1;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;1;1
4. Was the status of publication (i.e. grey literature) used as an inclusion criterion? The authors should state that they searched for reports regardless of their publication type. The authors should state whether or not they excluded any reports (from the systematic review), based on their publication status, language etc. Note: If review indicates that there was a search for “grey literature” or “unpublished literature,” indicate “yes.” SIGLE database, dissertations, conference proceedings, and trial registries are all considered grey for this purpose. If searching a source that contains both grey and non-grey, must specify that they were searching for grey/unpublished lit.;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1
5. Was a list of studies (included and excluded) provided? A list of included and excluded studies should be provided. Note: Acceptable if the excluded studies are referenced. If there is an electronic link to the list but the link is dead, select “no.”;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"6. Were the characteristics of the included studies provided? In an aggregated form such as a table, data from the original studies should be provided on the participants, interventions and outcomes. The ranges of characteristics in all the studies analyzed e.g., age, race, sex, relevant socioeconomic data, disease status, duration, severity, or other diseases should be reported. Note: Acceptable if not in table format as long as they are described as above. Paul ""Follow-up poorly reported in general""";1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;1;1;1;0;1;1;1;1;1;1;1;1;1
"7. Was the scientific quality of the included studies assessed and documented? 'A priori' methods of assessment should be provided (e.g., for effectiveness studies if the author(s) chose to include only randomized, double-blind, placebo controlled studies, or allocation concealment as inclusion criteria); for other types of studies alternative items will be relevant. Note: Can include use of a quality scoring tool or checklist, e.g., Jadad scale, risk of bias, sensitivity analysis, etc., or a description of quality items, with some kind of result for EACH study (“low” or “high” is fine, as long as it is clear which studies scored “low” and which scored “high”; a summary score/range for all studies is not acceptable).";0;0;0;1;1;0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;1;1;0;1;NA;1;1;1;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;1;0;1;1;1;1;1;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;NA;1;1;1;0;0;0;1;0;1;1;0;0;0
8. Was the scientific quality of the included studies used appropriately in formulating conclusions? The results of the methodological rigor and scientific quality should be considered in the analysis and the conclusions of the review, and explicitly stated in formulating recommendations. Note: Might say something such as “the results should be interpreted with caution due to poor quality of included studies.” Cannot score “yes” for this question if scored “no” for question 7.;0;0;0;1;1;0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;1;1;1;1;NA;1;1;1;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;1;1;1;1;0;0;1;0;1;1;0;1;0;1;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;NA;1;1;1;0;0;0;1;0;1;1;0;0;0
9. Were the methods used to combine the findings of studies appropriate? For the pooled results, a test should be done to ensure the studies were combinable, to assess their homogeneity (i.e., Chi-squared test for homogeneity, I2 ). If heterogeneity exists a random effects model should be used and/or the clinical appropriateness of combining should be taken into consideration (i.e., is it sensible to combine?). Note: Indicate “yes” if they mention or describe heterogeneity, i.e., if they explain that they cannot pool because of heterogeneity/variability between interventions.;NA;NA;NA;1;1;NA;NA;1;NA;NA;1;1;0;NA;1;NA;1;1;1;NA;NA;NA;NA;1;NA;1;NA;NA;NA;1;NA;1;1;1;0;NA;1;NA;NA;1;NA;1;NA;NA;1;NA;NA;1;1;1;1;NA;NA;1;NA;NA;1;1;1;1;NA;0;1;1;1;1;1;1;NA;NA;1;NA;NA;NA;NA;1;NA;NA;1;1;1;NA;NA;1;0;NA;1;NA;1;1;NA;1;1;NA;NA;1;1;NA;NA;NA;1;NA;NA;1;NA;1;NA;1;1;NA;1;1
10. Was the likelihood of publication bias assessed? An assessment of publication bias should include a combination of graphical aids (e.g., funnel plot, other available tests) and/or statistical tests (e.g., Egger regression test, Hedges-Olken). Note: If no test values or funnel plot included, score “no”. Score “yes” if mentions that publication bias could not be assessed because there were fewer than 10 included studies.;NA;NA;NA;0;0;NA;NA;1;NA;NA;0;0;0;NA;1;NA;1;1;0;NA;NA;NA;0;1;NA;1;NA;NA;NA;1;NA;0;0;0;0;NA;0;NA;NA;1;NA;1;NA;NA;1;NA;NA;1;0;1;1;NA;NA;1;NA;NA;1;1;1;1;NA;1;1;1;0;0;1;1;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;0;0;NA;NA;1;0;NA;1;NA;0;0;NA;0;1;NA;NA;0;1;NA;NA;NA;1;NA;NA;1;NA;1;NA;0;1;NA;0;0
11. Was the conflict of interest included? Potential sources of support should be clearly acknowledged in both the systematic review and the included studies. Note: To get a “yes,” must indicate source of funding or support for the systematic review AND for each of the included studies..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PRISMA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1. Identify the report as a systematic review, meta-analysis, or both.;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1
"2. Provide a structured summary including, as applicable: background; objectives; data sources; study eligibility criteria, participants, and interventions; study appraisal and synthesis methods; results; limitations; conclusions and implications of key findings; systematic review registration number.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
3. Describe the rationale for the review in the context of what is already known.;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1
4. Provide an explicit statement of questions being addressed with reference to participants, interventions, comparisons, outcomes, and study design (PICOS).;1;0;1;1;1;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
5. Indicate if a review protocol exists, if and where it can be accessed (e.g., Web address), and, if available, provide registration information including registration number.;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
6. Specify study characteristics (e.g., PICOS, length of follow-up) and report characteristics (e.g., years considered, language, publication status) used as criteria for eligibility, giving rationale.;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1
7. Describe all information sources (e.g., databases with dates of coverage, contact with study authors to identify additional studies) in the search and date last searched.;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;1;0;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0
8. Present full electronic search strategy for at least one database, including any limits used, such that it could be repeated.;1;0;1;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;1;0;0;0;1;0;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;1;1;1;0;1;1;0;0;0;1;0;0;0
9. State the process for selecting studies (i.e., screening, eligibility, included in systematic review, and, if applicable, included in the meta-analysis).;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10. Describe method of data extraction from reports (e.g., piloted forms, independently, in duplicate) and any processes for obtaining and confirming data from investigators.;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;1;0;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;0;1;0
11. List and define all variables for which data were sought (e.g., PICOS, funding sources) and any assumptions and simplifications made.;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1
12. Describe methods used for assessing risk of bias of individual studies (including specification of whether this was done at the study or outcome level), and how this information is to be used in any data synthesis.;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;1;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;1;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0
13. State the principal summary measures (e.g., risk ratio, difference in means).;NA;NA;NA;1;1;NA;NA;1;NA;NA;0;0;1;NA;1;NA;1;1;1;NA;NA;1;NA;1;NA;1;NA;NA;NA;1;NA;1;1;1;0;NA;1;NA;NA;1;NA;1;NA;NA;1;NA;NA;1;1;1;1;NA;NA;1;NA;NA;1;1;1;1;NA;1;1;1;1;0;1;1;NA;NA;1;NA;NA;NA;NA;0;NA;NA;1;1;0;NA;NA;1;1;NA;1;NA;1;1;NA;1;1;NA;NA;1;1;NA;1;NA;1;NA;NA;1;NA;1;NA;1;1;NA;1;1
14. Describe the methods of handling data and combining results of studies, if done, including measures of consistency (e.g., I2) for each meta-analysis.;NA;NA;NA;1;1;NA;NA;1;NA;NA;0;1;0;NA;1;NA;1;1;1;NA;NA;1;NA;1;NA;1;NA;NA;NA;1;NA;1;1;1;0;NA;0;NA;NA;1;NA;1;NA;NA;1;NA;NA;1;1;1;1;NA;NA;1;NA;NA;1;1;1;1;NA;1;1;1;1;1;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;1;0;NA;NA;1;1;NA;1;NA;1;1;NA;1;1;NA;NA;1;1;NA;1;NA;1;NA;NA;1;NA;1;NA;1;1;NA;1;1
15. Specify any assessment of risk of bias that may affect the cumulative evidence (e.g., publication bias, selective reporting within studies).;NA;NA;NA;0;0;NA;NA;1;NA;NA;0;1;0;NA;1;NA;1;0;0;NA;NA;1;NA;1;NA;1;NA;NA;NA;1;NA;0;0;0;0;NA;0;NA;NA;1;NA;1;NA;NA;1;NA;NA;0;0;1;0;NA;NA;1;NA;NA;1;0;0;1;NA;1;1;1;0;0;1;1;NA;NA;0;NA;NA;NA;NA;0;NA;NA;1;0;0;NA;NA;1;0;NA;0;NA;0;0;NA;0;1;NA;NA;0;0;NA;1;NA;1;NA;NA;1;NA;1;NA;0;1;NA;0;0
16. Describe methods of additional analyses (e.g., sensitivity or subgroup analyses, meta-regression), if done, indicating which were pre-specified.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;1;NA;NA;0;NA;0;1;NA;NA;0;NA;NA;0;0;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
17. Give numbers of studies screened, assessed for eligibility, and included in the review, with reasons for exclusions at each stage, ideally with a flow diagram.;1;0;0;1;1;1;0;1;0;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1
18. For each study, present characteristics for which data were extracted (e.g., study size, PICOS, follow-up period) and provide the citations.;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;0;0;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;NA;1;1;1;0;1;1;1;1;1;1;1;1;1
19. Present data on risk of bias of each study and, if available, any outcome level assessment (see item 12).;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;NA;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;0;1;0;1;0;NA;0;1;1;0;0;0;0;0;0;1;0;0;0
20. For all outcomes considered (benefits or harms), present, for each study: (a) simple summary data for each intervention group (b) effect estimates and confidence intervals, ideally with a forest plot.;NA;NA;NA;1;1;NA;NA;1;NA;NA;1;1;1;NA;1;NA;1;1;1;NA;NA;1;NA;1;NA;1;NA;NA;NA;1;NA;1;1;1;0;NA;1;NA;NA;1;NA;1;NA;NA;1;NA;NA;1;1;1;1;NA;NA;1;NA;NA;1;1;1;1;NA;1;1;1;1;0;1;1;NA;NA;1;NA;NA;NA;NA;0;NA;NA;1;1;0;NA;NA;1;0;NA;1;NA;1;1;NA;1;1;NA;NA;1;1;NA;NA;NA;1;NA;NA;1;NA;1;NA;1;1;NA;1;1
21. Present results of each meta-analysis done, including confidence intervals and measures of consistency.;NA;NA;NA;1;1;NA;NA;1;NA;NA;1;1;0;NA;1;NA;1;1;1;NA;NA;1;NA;1;NA;1;NA;NA;NA;1;NA;1;1;0;0;NA;1;NA;NA;1;NA;1;NA;NA;1;NA;NA;1;1;1;1;NA;NA;1;NA;NA;1;1;1;1;NA;1;1;1;1;0;1;1;NA;NA;1;NA;NA;NA;NA;0;NA;NA;1;1;0;NA;NA;1;0;NA;1;NA;1;1;NA;1;1;NA;NA;1;1;NA;NA;NA;1;NA;NA;1;NA;1;NA;1;1;NA;1;1
22. Present results of any assessment of risk of bias across studies (see Item 15).;NA;NA;NA;0;0;NA;NA;1;NA;NA;0;0;0;NA;1;NA;1;1;0;NA;NA;1;NA;1;NA;1;NA;NA;NA;1;NA;0;0;0;0;NA;0;NA;NA;1;NA;1;NA;NA;1;NA;NA;0;0;1;0;NA;NA;NA;NA;NA;1;0;0;1;NA;1;1;1;0;0;0;1;NA;NA;0;NA;NA;NA;NA;0;NA;NA;0;0;0;NA;NA;1;0;NA;0;NA;0;0;NA;0;1;NA;NA;0;0;NA;NA;NA;1;NA;NA;1;NA;1;NA;0;1;NA;0;0
23. Give results of additional analyses, if done (e.g., sensitivity or subgroup analyses, meta-regression [see Item 16]).;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;0;NA;NA;1;NA;NA;0;NA;0;1;NA;NA;0;NA;NA;0;0;NA;NA;NA;1;NA;NA;0;NA;0;NA;1;NA;NA;1;NA
"24. Summarize the main findings including the strength of evidence for each main outcome; consider their relevance to key groups (e.g., healthcare providers, users, and policy makers).";1;0;1;1;1;1;0;1;0;1;0;1;1;1;0;1;1;0;1;0;1;1;1;1;NA;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;NA;0;1;1;1;1;1;1;1;1;1;0;0;0
25. Discuss limitations at study and outcome level (e.g., risk of bias), and at review-level (e.g., incomplete retrieval of identified research, reporting bias).;1;1;1;1;1;0;0;1;0;1;0;1;0;0;1;1;1;0;1;1;1;1;0;1;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;1;0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;1;1;1;0;1;0;0;1;1;1;1;1;1;0;1;0;0;0;1;1;1;0;1;1;0;0;1;1;1;0;0;0;0;0
26. Provide a general interpretation of the results in the context of other evidence, and implications for future research.;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"27. Describe sources of funding for the systematic review and other support (e.g., supply of data); role of funders for the systematic review.";1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
