"trials.trials_id","trials.author","trials.title","trials.journal","trials.pub_year","trials.doi","trials.pmid","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
648,"CORONIS Collaborative Group","Caesarean section surgical techniques (CORONIS): a fractional, factorial, unmasked, randomised controlled trial","Lancet",2013,"10.1016/S0140-6736(13)60441-9",23721753,4,NA,5,5,3,NA,5,3,3
650,"van Dijk-de Vries. A,","Lessons learnt from a cluster-randomised trial evaluating the effectiveness of Self-Management Support (SMS) delivered by practice nurses in routine diabetes care","BMJ",2015,"10.1136/bmjopen-2014-007014",26112220,3,4,5,4,5,NA,4,5,3
651,"Price. D,","Leukotriene antagonists as first-line or add-on asthma-controller therapy","The New England Journal of Medicine",2011,"10.1056/NEJMoa1010846",21542741,5,5,5,NA,4,4,4,5,4
655,"Galdiz, J. B. ","Telerehabilitation Programme as a Maintenance Strategy for COPD Patients: A 12-Month Randomized Clinical Trial","Archivos de Bronconeumolog�a (Engl Ed).",2020,"10.1016/j.arbres.2020.03.034",32439253,3,NA,5,4,5,3,4,3,3
657,"Arntzen E.","Group-Based Individualized Comprehensive Core Stability Intervention Improves Balance in Persons With Multiple Sclerosis: A Randomized Controlled Trial.","Physical Therapy",2019,"10.1093/ptj/pzz017",NA,3,4,5,4,5,4,4,5,5
662,"Bogosian A.","Distress improves after mindfulness training for progressive MS: A pilot randomised trial","Multiple Sclerosis Journal",2015,"10.1177/1352458515576261",NA,5,4,5,4,3,NA,3,5,5
663,"Callesen J.","How do resistance training and balance and motor control training affect gait performance and fatigue impact in people with multiple sclerosis? A randomized controlled multi-center study","Multiple Sclerosis Journal",2020,"10.1177/1352458519865740",NA,4,4,5,5,5,5,4,5,3
664,"Carter A.","Pragmatic intervention for increasing self-directed exercise behaviour and improving important health outcomes in people with multiple sclerosis: a randomised controlled trial","Multiple Sclerosis Journal",2014,"10.1177/1352458513519354",NA,3,4,4,5,5,3,4,5,4
665,"Cooper C.","Computerised cognitive behavioural therapy for the treatment of depression in people with multiple sclerosis: external pilot trial","Trials",2011,"10.1186/1745-6215-12-259",NA,4,4,5,5,5,4,4,5,4
666,"Cutter G.","Higher satisfaction and adherence with glatiramer acetate 40 mg/mL TIW vs 20 mg/mL QD in RRMS","Multiple Sclerosis and Related Disorders",2019,"10.1016/j.msard.2019.04.036",NA,4,NA,5,NA,NA,4,3,5,5
668,"Dodd K. J.","Progressive resistance training did not improve walking but can improve muscle performance, quality of life and fatigue in adults with multiple sclerosis: a randomized controlled trial","Multiple Sclerosis Journal",2011,"10.1177/1352458511409084",NA,4,3,5,5,NA,4,4,5,4
669,"Feys P.","Effects of an individual 12-week community-located ""start-to-run"" program on physical capacity, walking, fatigue, cognitive function, brain volumes, and structures in persons with multiple sclerosis","Multiple Sclerosis Journal",2019,"10.1177/1352458517740211",NA,3,4,5,2,5,2,1,3,3
670,"Finch P.","Effects of an individual 12-week community-located ""start-to-run"" program on physical capacity, walking, fatigue, cognitive function, brain volumes, and structures in persons with multiple sclerosis","Journal of Bodywork and Movement Therapies",2014,"10.1016/j.jbmt.2013.04.001",NA,5,5,4,5,5,NA,NA,5,NA
671,"Freeman J.","Assessment of a home-based standing frame programme in people with progressive multiple sclerosis (SUMS): a pragmatic, multi-centre, randomised, controlled trial and cost-effectiveness analysis","The Lancet Neurology",2019,"10.1016/S1474-4422(19)30190-5",NA,5,5,5,4,3,2,3,5,3
673,"Garrett M.","Exercise in the community for people with minimal gait impairment due to MS: an assessor-blind randomized controlled trial","Multiple Sclerosis Journal",2013,"10.1177/1352458512461966",NA,5,5,5,NA,3,3,5,5,2
674,"Giovannoni G.","Alemtuzumab improves preexisting disability in active relapsing-remitting MS patients","Neurology",2016,"10.1212/WNL.0000000000003319",NA,3,NA,5,NA,NA,NA,4,5,NA
675,"Grossman P.","MS quality of life, depression, and fatigue improve after mindfulness training: a randomized trial","Neurology",2010,"10.1212/WNL.0b013e3181f4d80d",NA,5,4,3,5,NA,5,5,5,5
677,"Hermens H.","Clinical assessment of the HELLODOC tele-rehabilitation service","Annali dell'Istituto Superiore ",2008,"",NA,4,NA,4,5,NA,NA,4,5,NA
678,"Higginson I. J.","Is short-term palliative care cost-effective in multiple sclerosis? A randomized phase II trial","Journal of Pain and Symptom Management",2009,"10.1016/j.jpainsymman.2009.07.002",NA,4,5,4,4,5,NA,4,5,4
679,"Jongen P. J.","Effect of an intensive 3-day social cognitive treatment (can do treatment) on control self-efficacy in patients with relapsing remitting multiple sclerosis and low disability: A single-centre randomized controlled trial","Plos One",2019,"10.1371/journal.pone.0223482",NA,4,5,5,4,5,NA,4,5,3
680,"Kiropoulos L. A.","A pilot randomized controlled trial of a tailored cognitive behavioural therapy based intervention for depressive symptoms in those newly diagnosed with multiple sclerosis","BMC Psychiatry",2016,"10.1186/s12888-016-1152-7",NA,4,3,4,4,5,5,3,5,5
681,"Learmonth Y. C.","The effects of a 12-week leisure centre-based, group exercise intervention for people moderately affected with multiple sclerosis: a randomized controlled pilot study","Clinical Rehabilitation",2012,"10.1177/0269215511423946",NA,4,5,5,5,3,3,4,5,3
682,"Mayo N. E.","Participation in and outcomes from a 12-month tailored exercise programme for people with multiple sclerosis (MSTEP�): a randomized trial","Clinical Rehabilitation",2020,"10.1177/0269215520923089",NA,4,4,5,5,5,2,3,1,2
684,"Miller L.","Evaluation of a home-based physiotherapy programme for those with moderate to severe multiple sclerosis: a randomized controlled pilot study","Clinical Rehabilitation",2011,"10.1177/0269215511398376",NA,4,4,4,5,5,NA,4,5,NA
685,"O'Hara L.","Evaluation of the effectiveness of professionally guided self-care for people with multiple sclerosis living in the community: a randomized controlled trial","Clinical Rehabilitation",2002,"10.1191/0269215502cr478oa",NA,5,NA,4,3,5,NA,5,5,5
686,"Papeix C.","Evaluation of an integrated multidisciplinary approach in multiple sclerosis care: A prospective, randomized, controlled study","Multiple Sclerosis Journal Experimental, Translational and Clinical",2015,"10.1177/2055217315608864",NA,4,5,4,5,5,NA,4,5,5
687,"Paul L.","Web-based physiotherapy for people moderately affected with Multiple Sclerosis; quantitative and qualitative data from a randomized, controlled pilot study","Clinical Rehabilitation",2014,"10.1177/0269215514527995",NA,2,5,4,5,4,4,3,5,3
688,"Pozzilli C.","Home based management in multiple sclerosis: results of a randomised controlled trial","Journal of Neurology, Neurosurgery, and Psychiatry",2002,"10.1136/jnnp.73.3.250",NA,5,NA,5,3,5,NA,4,5,5
689,"Renfrew L. M.","The clinical- and cost-effectiveness of functional electrical stimulation and ankle-foot orthoses for foot drop in Multiple Sclerosis: a multicentre randomized trial","Clinical Rehabilitation",2019,"10.1177/0269215519842254",NA,3,5,5,5,4,NA,4,5,NA
690,"Solari A.","Randomized controlled trial of a home-based palliative approach for people with severe multiple sclerosis","Multiple Sclerosis Journal",2018,"10.1177/1352458517704078",NA,4,NA,5,5,5,NA,3,5,5
691,"Thomas S.","A pragmatic parallel arm multi-centre randomised controlled trial to assess the effectiveness and cost-effectiveness of a group-based fatigue management programme (FACETS) for people with multiple sclerosis","Journal of Neurology, Neurosurgery, and Psychiatry",2013,"10.1136/jnnp-2012-303816",NA,4,4,4,4,3,5,4,5,5
692,"Torkhani E.","Improving Health of People With Multiple Sclerosis From a Multicenter Randomized Controlled Study in Parallel Groups: Preliminary Results on the Efficacy of a Mindfulness Intervention and Intention Implementation Associated With a Physical Activity Program","Frontiers in Psychology",2021,"10.3389/fpsyg.2021.767784",NA,5,5,5,5,5,4,5,5,5
693,"Velikonja O.","Influence of sports climbing and yoga on spasticity, cognitive function, mood and fatigue in patients with multiple sclerosis","Clinical Neurology and Neurosurgery",2010,"10.1016/j.clineuro.2010.03.006",NA,5,NA,4,4,NA,3,4,5,NA
694,"Vermöhlen V.","Hippotherapy for patients with multiple sclerosis: A multicenter randomized controlled trial (MS-HIPPO)","Multiple Sclerosis Journal",2018,"10.1177/1352458517721354",NA,3,NA,5,3,4,NA,4,5,5
695,"Ward C. D.","Education for people with progressive neurological conditions can have negative effects: evidence from a randomized controlled trial","Clinical Rehabilitation",2004,"10.1191/0269215504cr792oa",NA,5,4,4,4,5,NA,4,5,5
696,"Weinstock-Guttman B.","Randomised natalizumab discontinuation study: taper protocol may prevent disease reactivation","Journal of Neurology, Neurosurgery, and Psychiatry",2016,"10.1136/jnnp-2015-312221",NA,5,NA,4,3,5,NA,3,4,NA
697,"Williams K. L.","Center-Based Group and Home-Based Individual Exercise Programs Have Similar Impacts on Gait and Balance in People With Multiple Sclerosis: A Randomized Trial","PM & R",2021,"10.1002/pmrj.12377",NA,4,NA,4,4,4,4,4,5,4
705,"Petrella, R. J. ","Hockey Fans in Training: A Pilot Pragmatic Randomized Controlled Trial","Medicine & Science in Sports & Exercise",2017,"10.1249/MSS.0000000000001380",28719494,5,1,5,5,5,3,4,5,4
712,"Mafetoni, R. R. ","The effects of acupressure on labor pains during child birth: randomized  clinical trial1","Revista Latino-Americana de Enfermagem",2016,"10.1590/1518-8345.0739.2738",27508910,5,5,4,4,1,NA,4,5,3
713,"Jonsdottir, H.","Effectiveness of a partnership-based self-management programme for patients with mild and moderate chronic obstructive pulmonary disease: a pragmatic randomized controlled trial","Journal of Advanced Nursing",2015,"10.1111/jan.12728",26193907,4,4,3,NA,NA,NA,4,3,2
714,"Pinnock, H.","Accessibility, acceptability, and effectiveness in primary care of routine telephone review of asthma: pragmatic, randomised controlled trial","BMJ.",2003,"10.1136/bmj.326.7387.477",12609944,3,4,4,5,5,NA,5,5,3
715,"Ndosi, M.","The outcome and cost-effectiveness of nurse-led care in people with rheumatoid arthritis: a multicentre randomised controlled trial","Annals of the Rheumatic Diseases",2014,"10.1136/annrheumdis-2013-203403",23982436,5,NA,5,4,5,NA,5,3,3
722,"Patel. A.","A pragmatic randomized trial of a polypill-based strategy to improve use of indicated preventive treatments in people at high cardiovascular disease risk","European Journal of Preventive Cardiology",2015,"10.1177/2047487314530382",24676715,4,NA,5,5,5,5,4,3,4
725,"Rangan, A.","Surgical vs nonsurgical treatment of adults with displaced fractures of the proximal humerus: the PROFHER randomized clinical trial","JAMA.",2015,"10.1001/jama.2015.1629",25756440,4,NA,5,5,4,NA,5,5,3
733,"Iliffe, S.","Promoting physical activity in older people in general practice: ProAct65+ cluster randomised controlled trial","British Journal of General Practice",2015,"10.3399/bjgp15X687361",26500320,4,4,5,4,5,3,3,3,3
1528,"Humphreys I.","Cost-effectiveness of an adjustment group for people with multiple sclerosis and low mood: a randomized trial","Clinical Rehabilitation",2013,"10.1177/0269215513488608",NA,3,3,4,4,4,NA,4,5,5
1529,"Khayeri F.","Effect of Fordyce Happiness Model on depression, stress, anxiety, and fatigue in patients with multiple sclerosis","Complementary Therapies in Clinical Practice",2016,"10.1016/j.ctcp.2016.09.009",NA,5,5,4,NA,4,NA,5,NA,NA
1567,"Stuifbergen A.K.","Computer-assisted cognitive rehabilitation in persons with multiple sclerosis: Results of a multi-site randomized controlled trial with six month follow-up","Disability and Health Journal",2018,"10.1016/j.dhjo.2018.02.001",NA,5,3,5,3,NA,3,3,5,5
1568,"Riemenschneider M.","Investigating the potential disease-modifying and neuroprotective efficacy of exercise therapy early in the disease course of multiple sclerosis: The Early Multiple Sclerosis Exercise Study (EMSES)","Multiple Sclerosis Journal",2022,"10.1177/13524585221079200",NA,4,4,4,4,5,3,3,3,5
1569,"Straudi S.","Combining a supervised and home-based task-oriented circuit training improves walking endurance in patients with multiple sclerosis. The MS_TOCT randomized-controlled trial","Multiple Sclerosis and Related Disorders",2022,"10.1016/j.msard.2022.103721",NA,5,5,4,4,5,3,4,5,5
1570,"Mazdeh M.","The therapeutic effect of Avonex, Rebif and Betaferon on EDSS and relapse in multiple sclerosis: a comparative study","Acta Medica Iranica",2010,"",NA,3,5,4,5,NA,NA,5,NA,NA
1769,"Millar J.H.","Long-term treatment of multiple sclerosis with corticotrophin","Lancet ",1967,"10.1016/s0140-6736(67)90850-1",NA,5,NA,5,5,5,NA,4,NA,NA
1770,"Hoogstraten M.C.","Long-term effect of ACTH treatment of relapse in multiple sclerosis","Acta Neurologica Scandinavica",1990,"10.1111/j.1600-0404.1990.tb01590.x",NA,5,NA,5,5,NA,NA,4,NA,NA
1771,"Langeskov-Christensen M.","Efficacy of high-intensity aerobic exercise on cognitive performance in people with multiple sclerosis: A randomized controlled trial","Multiple Sclerosis Journal",2021,"10.1177/1352458520973619",NA,5,NA,4,5,4,3,3,NA,5
1772,"Calkwood J.","Impact of a switch to fingolimod versus staying on glatiramer acetate or beta interferons on patient- and physician-reported outcomes in relapsing multiple sclerosis: post hoc analyses of the EPOC trial","BMC Neurology",2014,"10.1186/s12883-014-0220-1",NA,3,5,5,5,NA,NA,4,5,5
1773,"Medina-Perez C.","Effects of a resistance training program and subsequent detraining on muscle strength and muscle power in multiple sclerosis patients","NeuroRehabilitation",2014,"10.3233/NRE-141062",NA,4,5,4,4,3,3,3,NA,5
